Date,fish,supply,demand
1/1/2022,zebra,500,600
1/2/2022,zebra,600,800
1/3/2022,zebra,400,600
1/4/2022,zebra,400,400
1/5/2022,zebra,350,200
1/6/2022,zebra,300,600
1/7/2022,zebra,250,800
1/8/2022,zebra,200,600
1/9/2022,zebra,150,400
1/10/2022,zebra,100,200
1/11/2022,zebra,50,100
1/12/2022,zebra,120,50
1/1/2022,Tetra,500,600
1/2/2022,Tetra,600,800
1/3/2022,Tetra,400,600
1/4/2022,Tetra,400,400
1/5/2022,Tetra,350,200
1/6/2022,Tetra,300,600
1/7/2022,Tetra,250,800
1/8/2022,Tetra,200,600
1/9/2022,Tetra,150,400
1/10/2022,Tetra,100,200
1/11/2022,Tetra,50,100
1/12/2022,Tetra,120,50
